Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PCAS-TC-RC;0
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PYC (ANULADA);0
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PP;186
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;P.S.O.E.;160
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;VOX;78
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;XAV;25
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PODEMOS-IU-AV;24
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;Cs;23
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PACMA;7
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PCAS-TC-RC;1
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PYC (ANULADA);0
05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;FE de las JONS;0
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;P.S.O.E.;169
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PP;169
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;VOX;74
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PODEMOS-IU-AV;33
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;Cs;16
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;XAV;15
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PACMA;8
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PCAS-TC-RC;1
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PYC (ANULADA);0
05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;FE de las JONS;0
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;VOX;13
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;P.S.O.E.;13
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PP;12
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PODEMOS-IU-AV;3
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;XAV;1
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PACMA;0
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;FE de las JONS;0
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PYC (ANULADA);0
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;Cs;0
05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PCAS-TC-RC;0
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;PP;169
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;P.S.O.E.;144
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;VOX;95
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;XAV;26
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;Cs;15
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;PODEMOS-IU-AV;9
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;PCAS-TC-RC;3
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;PACMA;2
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;FE de las JONS;1
05-016-1-001-U;AVILA;16;ARÉVALO;1;1;U;778;258;398;474;8;2;PYC (ANULADA);0
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;PP;182
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;P.S.O.E.;107
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;VOX;99
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;XAV;23
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;PODEMOS-IU-AV;18
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;Cs;9
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;PACMA;5
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;FE de las JONS;1
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;PCAS-TC-RC;0
05-016-2-001-A;AVILA;16;ARÉVALO;2;1;A;691;218;353;455;9;2;PYC (ANULADA);0
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;PP;175
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;VOX;87
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;P.S.O.E.;83
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;XAV;27
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;Cs;11
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;PODEMOS-IU-AV;8
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;PACMA;3
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;PCAS-TC-RC;0
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;FE de las JONS;0
05-016-2-001-B;AVILA;16;ARÉVALO;2;1;B;660;188;318;410;9;7;PYC (ANULADA);0
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;PP;234
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;P.S.O.E.;141
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;VOX;128
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;XAV;32
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;Cs;16
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;PODEMOS-IU-AV;13
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;PCAS-TC-RC;1
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;PACMA;1
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;FE de las JONS;0
05-016-2-002-U;AVILA;16;ARÉVALO;2;2;U;905;282;485;581;7;8;PYC (ANULADA);0
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;PP;161
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;VOX;113
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;P.S.O.E.;104
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;XAV;37
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;Cs;13
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;PODEMOS-IU-AV;8
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;PACMA;2
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;PCAS-TC-RC;1
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;FE de las JONS;0
05-016-2-003-A;AVILA;16;ARÉVALO;2;3;A;650;239;354;446;5;2;PYC (ANULADA);0
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;PP;179
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;P.S.O.E.;88
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;VOX;66
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;XAV;32
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;PODEMOS-IU-AV;9
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;Cs;6
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;PACMA;4
05-016-2-003-B;AVILA;16;ARÉVALO;2;3;B;621;199;327;397;10;3;PCAS-TC-RC;0
